4019: –
12: серьезно
12: некоторые
12: послышался
12: ночью
12: временем
12: забыл
12: планету
12: каждого
12: помните
12: номер
12: наших
12: разговор
12: собираюсь
12: оксигенатор
12: регенератор
12: неделю
12: процесс
12: калорий
12: стене
12: работает
12: костюм
12: видно
12: чак
12: знала
12: дома
12: смотрел
12: пещеры
11: солнечных
11: цели
11: пришел
11: путешествие
11: сможет
11: .
11: крайне
11: небольшой
11: забыть
11: следить
11: извините
11: хочет
11: тоном
11: мисс
11: четырех
11: полный
11: сообщить
11: груди
11: уверены
11: проблемы
11: пищи
11: готовы
11: способ
11: одни
11: «спальники»
11: сердце
11: впечатление
11: пытался
11: поднялся
11: другим
11: отличие
11: энергия
11: известно
11: службы
11: подобных
11: наружу
11: взял
11: нож
11: очередной
11: кивнула
11: станет
11: тяжести
11: стены
11: отсутствие
11: кресле
11: столько
11: компьютер
11: голосом
11: шаттла
11: несомненно
11: посмотрим
11: чикаго
11: объяснить
11: короче
11: пришла
11: темноте
11: какое
11: мысленно
11: другого
11: тысячи
11: автоматически
11: можешь
11: члены
11: хорошая
11: стола
11: утром
11: полчаса
11: состояние
11: смог
11: холодно
11: руках
11: вашего
11: миссия
11: полно
11: скафандров
11: нужен
11: маленькие
11: любого
11: сил
11: флойда
11: информации
11: проверки
11: появилась
11: страх
11: предстояло
11: говорю
11: модулю
11: установка
11: моррис
11: °c
11: гидразин
11: головы
11: одном
11: рейх
11: либо
11: прочь
11: олега
11: животных
11: пещеру
11: леопард
11: синапсайфер
11: смит
10: панелей
10: надеюсь
10: полет
10: улыбнулась
10: выше
10: насчет
10: тепла
10: «гермес»
10: смысла
10: месяца
10: единственный
10: наверно
10: както
10: покинули
10: ощущал
10: женщин
10: метра
10: первое
10: особого
10: прошла
10: достал
10: вслух
10: напротив
10: кораблю
10: прав
10: ничем
10: обо
10: приказ
10: пройти
10: задумчиво
10: вашей
10: прошу
10: поспешно
10: сообщил
10: бросила
10: хочется
10: движение
10: спасти
10: быстрее
10: понастоящему
10: арбина
10: раздраженно
10: ощутил
10: ходить
10: замер
10: солнца
10: пробормотал
10: абсолютно
10: сто
10: повидимому
10: остался
10: представляет
10: цель
10: приблизился
10: раздался
10: видите
10: лицом
10: любом
10: экспедиции
10: землянка
10: касается
10: речь
10: сеть
10: полной
10: хватило
10: умру
10: скафандре
10: пяти
10: 10
10: протяжении
10: буквально
10: какоето
10: первым
10: сей
10: привет
10: представить
10: кабинет
10: но…
10: каждом
10: пробормотала
10: 2
10: направилась
10: резервуар
10: атмосферы
10: бок
10: ох
10: проговорила
10: гранц
9: рад
9: верно
9: течение
9: большинство
9: возразил
9: темные
9: находился
9: погибнуть
9: парк
9: хватает
9: простите
9: экран
9: имея
9: пальцем
9: справиться
9: сосредоточиться
9: систем
9: проблему
9: контейнеры
9: собрать
9: испытания
9: губы
9: стояла
9: стараясь
9: мозга
9: потер
9: попытался
9: заставить
9: открыть
9: наверное
9: всерьез
9: выражением
9: света
9: доводилось
9: казался
9: людьми
9: ударил
9: вспомнил
9: отнюдь
9: одежду
9: честь
9: использования
9: дольше
9: труда
9: второго
9: протянул
9: редко
9: имела
9: какаято
9: минуты
9: видели
9: какието
9: систему
9: находимся
9: обратно
9: воспользоваться
9: мире
9: память
9: чувствовать
9: поздно
9: фермер
9: чужак
9: услышал
9: чувствуя
9: большей
9: фигуры
9: слов
9: помоему
9: сбежал
9: получил
9: воскликнул
9: действия
9: впереди
9: уйти
9: поговорить
9: человеком
9: важно
9: появились
9: оглянулся
9: определить
9: группы
9: светлость
9: немедленно
9: наверняка
9: усмехнулся
9: встреча
9: которому
9: новую
9: галактике
9: экипаж
9: выполнить
9: миссию
9: осталась
9: песком
9: навыки
9: содержит
9: земной
9: черт
9: нового
9: бактерии
9: готова
9: составляет
9: человеку
9: картофель
9: узнал
9: входа
9: нашего
9: решила
9: легче
9: силу
9: прозвучал
9: скоростью
9: офицер
9: другу
9: земных
9: дыхание
9: звезды
9: помощь
9: закрыл
9: другую
9: нашла
9: тела
9: марсоходов
9: недостаточно
9: уровень
9: вспомнить
9: единственным
9: вечером
9: температура
9: пираты
9: рак
9: ногу
9: широко
9: увидела
9: тварь
9: внезапно
9: делом
9: ася
9: землянина
9: спать
9: хищников
9: доброволец
9: сириуса
9: кредитов
9: одежда
9: полковник
8: операция
8: снял
8: крыше
8: увидели
8: считают
8: надежда
8: марка
8: сотни
8: сказали
8: лрд
8: сидел
8: брюс
8: людям
8: нравится
8: получила
8: комнату
8: контейнер
8: надеяться
8: планы
8: топлива
8: отозвался
8: команды
8: отправить
